layer,tile_type,max_relative,min_relative,average_relative,geometry_format,element_count,std_dev
1,reports_tile_zero,0.0,0.0,0.0,LINE,2,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,LINE,2,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,LINE,8,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,28,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,28,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,LINE,2,0.0
1,reports_tile_zero,0.0,0.0,0.0,LINE,8,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,LINE,2,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,LINE,2,0.0
1,reports_tile_zero,0.0,0.0,0.0,LINE,8,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,32,0.0
1,reports_tile_zero,0.0,0.0,0.0,LINE,8,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,40,0.0
1,reports_tile_zero,0.0,0.0,0.0,SQUARE,28,0.0
